cell_name	gene_name
Endocardium	cdh5
Endocardium	ecscr
Endocardium	f8
Endocardium	clec14a
Endocardium	dll4
Endocardium	esama
Endocardium	tie1
Myocardium - Atrium	myh6
Myocardium - Atrium	tnnc1b
Myocardium - Atrium	smtnl1
Myocardium - Ventricle	myh7l
Myocardium - Ventricle	myh7
Myocardium - Ventricle	tnni4a
Epicardium	tcf21
Epicardium	jam2b
Epicardium	aoc2
Epicardium	bnc2
Epicardium	
Fibroblasts 	loxa
Fibroblasts 	fbln5
Fibroblasts 	emid1
Fibroblasts 	acta2
Fibroblasts 	
Pharyngeal arches - 1	epcam
Pharyngeal arches - 1	cfl1l
Pharyngeal arches - 1	spint1a
Pharyngeal arches - 1	cldn7b
Pharyngeal arches - 1	tmem54a
Pharyngeal arches - 2	fgfbp2b
Pharyngeal arches - 2	col8a2
Pharyngeal arches - 2	ppp1r1c
Pharyngeal arches - 2	col2a1a
Pharyngeal arches - 2	col9a3
Pharyngeal arches - 2	loxl4
Pharyngeal arches - 2	gyg1b
Nervous system - 1	fez1
Nervous system - 1	atp1a3a
Nervous system - 1	atpv0e2
Nervous system - 1	stmn1b
Nervous system - 1	snap25b
Nervous system - 1	gng3
Nervous system - 1	elavl3
Nervous system - 1	cnrip1a
Nervous system - 1	sncb
Nervous system - 1	vamp2
Nervous system - 1	cpe
Nervous system - 2	her4.1
Nervous system - 2	her4.2
Nervous system - 2	her4.2-1
Nervous system - 2	her4.3
Nervous system - 2	her4.4
Nervous system - 2	her12
Nervous system - 2	fezf2
Nervous system - 2	sox19a
Nervous system - 2	
Blood cells	myb
Blood cells	blf
Blood cells	dachb
Blood - Immune cells	ctsba
Blood - Immune cells	ctsc
Blood - Immune cells	ctsl.1
Blood - Immune cells	ctss2.2
Blood - Immune cells	dhrs9
Blood - Immune cells	cxcr3.3
Blood - Immune cells	grna
Blood - Immune cells	havcr1
Blood - Immune cells	lgals9l1
Blood - Immune cells	lygl1
Blood - Immune cells	ncf1
Blood - Immune cells	samsn1a
Blood - Immune cells	slc7a7
Blood - Immune cells	spi1a
Blood - Immune cells	spi1b
Blood - red blood cells	cahz
Blood - red blood cells	hbae1.3-1
Blood - red blood cells	hbae1.3
Blood - red blood cells	hbae3
Blood - red blood cells	hbbe2
Blood - red blood cells	hbbe1.1
Blood - red blood cells	hbbe1.3
Blood - red blood cells	hbbe1.2
Blood - red blood cells	hemgn
Blood - red blood cells	hbae1.1
Blood - red blood cells	blvrb
Blood - red blood cells	si:ch211-250g4.3
Blood - red blood cells	alas2
